Value,Value Counts
 (D),2404
1,472
2,330
3,248
4,217
5,157
6,129
7,109
16,108
11,104
9,104
8,93
10,89
12,87
14,84
17,82
13,75
18,66
20,64
15,62
100,58
22,57
30,55
25,53
31,53
23,52
27,51
32,49
33,48
19,47
21,45
24,44
26,44
29,39
34,38
28,36
38,36
37,34
 (Z),33
35,31
"30,000",31
57,30
41,30
65,29
46,29
39,29
40,29
36,28
"10,000",28
59,28
52,27
"1,600",25
64,25
49,25
42,25
56,25
44,24
43,24
"2,000",23
55,23
54,23
"35,000",23
"1,400",23
"6,000",21
61,20
51,20
"1,500",20
"7,000",20
48,20
"1,000",20
"60,000",20
"45,000",19
"90,000",19
47,19
"70,000",19
"3,000",19
68,19
"1,300",19
50,18
"4,000",18
45,18
"40,000",18
"8,000",18
63,17
"100,000",17
"75,000",16
72,16
"9,000",16
53,16
62,15
"12,000",15
"5,000",15
60,15
93,15
71,14
58,14
69,14
91,14
70,14
"80,000",14
"27,000",14
"85,000",14
"55,000",14
"1,650",14
"50,000",14
"13,000",14
"110,000",13
73,13
"32,000",13
74,13
"48,000",13
"1,700",13
"44,000",12
0,12
"36,000",12
78,12
"850,000",12
"69,000",12
"25,000",12
99,12
88,12
"23,000",12
"73,000",12
75,12
1.8,12
"115,000",11
"150,000",11
"20,000",11
"140,000",11
"28,000",11
67,11
"15,000",11
"1,200",11
"105,000",11
"1,600,000",11
120,11
"82,000",11
66,11
"1,100",11
"250,000",11
"700,000",11
"29,000",10
"300,000",10
"59,000",10
95,10
"34,000",10
76,10
104,10
138,10
210,10
190,10
"400,000",10
"1,850",10
300,10
"130,000",10
"78,000",9
89,9
280,9
3.3,9
116,9
"33,000",9
"1,450",9
"125,000",9
13.5,9
1.4,9
"650,000",9
159,9
83,9
"88,000",9
92,9
86,9
"900,000",9
156,9
"64,000",9
"39,000",9
"67,000",9
900,9
"11,000",9
82,9
150,9
"58,000",9
"120,000",9
113,9
"38,000",9
"7,200,000",9
250,9
"1,350",8
"24,000",8
"1,550",8
"18,000",8
"1,950,000",8
1.5,8
"53,000",8
"77,000",8
"450,000",8
"1,650,000",8
344,8
"750,000",8
"475,000",8
"1,800",8
145,8
"26,000",8
800,8
3.5,8
"71,000",8
"31,000",8
"66,000",8
110,8
"1,800,000",8
1.6,8
165,8
"57,000",8
"65,000",8
"145,000",8
"1,700,000",8
80,8
"7,300,000",8
101,8
360,8
230,8
"52,000",7
105,7
"5,400,000",7
162,7
"2,150,000",7
"14,000",7
"2,100,000",7
84,7
"37,000",7
108,7
"72,000",7
157,7
"135,000",7
144,7
"200,000",7
"95,000",7
"6,400",7
"240,000",7
"2,000,000",7
"310,000",7
460,7
140,7
"2,400,000",7
"500,000",7
149,6
11.5,6
"68,000",6
"7,400",6
163,6
"2,450,000",6
132,6
"84,000",6
177,6
"1,900",6
109,6
"63,000",6
"800,000",6
195,6
125,6
"360,000",6
384,6
168,6
97,6
"99,000",6
27.5,6
"22,000",6
"104,000",6
2.95,6
2.2,6
"3,500",6
85,6
115,6
"7,500",6
273,6
"165,000",6
"42,000",6
135,6
96,6
"21,000",6
129,6
"17,000",6
167,6
"1,200,000",6
"180,000",6
"87,000",6
103,6
"1,530,000",6
"1,250",6
"1,350,000",6
"160,000",6
1.7,6
"56,000",6
220,6
238,6
"16,000",6
151,6
"9,400",6
180,6
"2,500",6
"1,850,000",6
111,6
"6,600",6
"1,050,000",6
"7,000,000",6
172,6
334,5
"205,000",5
"1,150",5
"190,000",5
90,5
385,5
3.4,5
"1,550,000",5
"1,300,000",5
"6,800,000",5
"6,000,000",5
"62,000",5
194,5
"1,080,000",5
"41,000",5
"2,250,000",5
"6,900,000",5
166,5
"6,300",5
"1,000,000",5
1.3,5
268,5
185,5
112,5
141,5
"83,000",5
"175,000",5
"19,000",5
285,5
"480,000",5
689,5
"6,800",5
128,5
"98,000",5
"2,600",5
"107,000",5
"47,000",5
"1,050",5
"6,200",5
"170,000",5
"5,600,000",5
87,5
"6,500",5
"270,000",5
"2,400",5
155,5
"43,000",5
406,5
"210,000",5
12.5,5
1.1,5
"7,200",5
"1,980,000",5
"2,600,000",5
"2,200,000",5
"6,400,000",5
256,5
270,5
130,5
1.9,5
"1,750",5
"7,600",5
265,4
81,4
"1,210",4
14.5,4
"1,500,000",4
"2,262",4
"2,800,000",4
153,4
124,4
"1,390",4
146,4
395,4
"142,000",4
"6,650,000",4
"510,000",4
19.5,4
133,4
288,4
204,4
"2,500,000",4
126,4
368,4
"4,800,000",4
142,4
295,4
245,4
"225,000",4
119,4
500,4
2.1,4
"155,000",4
311,4
"1,360",4
77,4
127,4
1.38,4
"5,900",4
"126,000",4
281,4
"91,000",4
"10,500",4
"1,100,000",4
102,4
"6,200,000",4
"89,000",4
161,4
16.5,4
971,4
189,4
18.5,4
248,4
425,4
"1,720",4
106,4
"1,920,000",4
"2,100",4
234,4
79,4
2.7,4
